user_id,round,level,spawn_time(ms),radius(px),target_sequence,clicked_sequence,response_times (ms),correct_clicks,missed_clicks,incorrect_clicks,total_time (ms),frustration_score
U05,8,4,1020,30,1 9 3 9 1 1,4 8 9 9 2 8,1046 998 725 1196 444 1190,6,0,2,5599,3.03
U06,3,4,1290,27,1 3 2 2 6 8 7 5 1,5 6 8 1 4 5 4 3 5,1034 848 327 801 577 532 557 441 765,7,2,1,5882,3.81
U16,6,1,1155,49,8 4 8 8 1 1 3,7 2 3 2 9 5 4,580 1158 905 1067 603 503 259,6,1,2,5075,3.97
U17,4,1,743,60,7 7 8 2 2 4 3 3 9,8 9 7 9 4 6 4 7 6,740 1013 519 405 756 526 685 945 609,9,0,0,6198,2.9
U18,8,1,527,67,6 3 8,1 5 2,540 751 284,3,0,0,1575,0.91
U18,5,2,1205,50,4 4 4 5 7,4 3 6 5 5,824 353 1088 200 733,4,1,2,3198,2.91
U20,2,3,1095,43,6 7 8,3 6 4,694 595 1037,1,2,0,2326,1.88
U03,1,4,1481,69,4 8 8,7 2 5,253 311 1131,2,1,0,1695,1.35
U18,8,1,1001,50,7 2 1 1,2 1 8 5,307 820 864 601,2,2,1,2592,2.14
U16,3,1,1491,20,8 7 3 2 8 2 3 3 2,9 5 7 2 2 8 4 7 1,845 748 1161 483 583 1138 292 520 1188,8,1,0,6958,3.77
U02,9,1,1206,39,9 2 6 9 1 2 8,1 6 4 7 1 9 8,328 445 775 797 990 408 821,7,0,2,4564,2.47
U06,8,2,1202,54,4 2 9,9 9 9,646 323 356,3,0,0,1325,0.25
U13,7,2,1107,54,9 7 7 8 9,2 8 6 3 4,970 530 843 605 1038,4,1,0,3986,2.08
U06,5,3,979,68,7 1 4 7 2 6 7,7 6 7 7 4 3 9,497 304 374 384 941 311 481,6,1,1,3292,2.44
U08,3,2,652,50,5 5 8 5 1 8 8,4 7 5 3 3 4 7,715 341 1069 423 833 332 558,5,2,2,4271,4.2
U09,4,2,580,27,5 5 9 8 7 6 7 5,4 1 5 5 1 5 1 8,1196 452 373 712 365 923 1166 999,7,1,2,6186,4.43
U14,10,1,1231,51,9 2 2 5 1 2 5,4 5 2 4 7 6 6,548 1061 1177 1066 460 932 607,7,0,2,5851,3.72
U11,3,1,1181,65,9 4 8,1 6 6,922 319 559,3,0,2,1800,1.32
U11,4,3,512,24,5 7 2,4 3 4,1069 1139 826,1,2,1,3034,2.85
U15,9,2,1064,78,4 5 1 2 4,1 7 1 2 7,546 1095 978 611 983,3,2,0,4213,3.51
U19,1,3,897,72,9 8 3 3 9,7 6 1 6 6,498 944 413 898 1167,5,0,0,3920,2.26
U11,3,1,1227,30,2 4 5 1,3 4 5 4,359 439 461 1044,4,0,1,2303,1.71
U13,8,2,1080,36,3 1 6 5 3 1 7 5 1,4 3 1 9 9 7 2 5 1,783 737 925 1159 266 739 792 447 239,7,2,1,6087,4.21
U04,5,3,1426,69,9 8 4 8 3 5 2,1 5 8 1 6 4 4,857 841 939 996 1040 1123 1125,7,0,0,6921,3.6
U03,8,4,1262,79,9 4 4 1 9 2 4 9 4,1 6 7 6 4 8 9 1 6,233 409 631 675 1194 381 720 672 399,7,2,1,5314,4.3
U17,4,3,1459,47,5 7 5 1,5 7 5 1,1164 715 958 1004,3,1,0,3841,2.6
U07,7,1,600,53,4 2 8 5 9,8 4 6 9 6,539 1152 435 633 337,3,2,0,3096,2.5
U01,4,1,1278,50,6 7 3,7 6 6,1074 788 886,1,2,1,2748,2.61
U17,9,2,1126,22,3 4 5,7 7 4,808 297 965,2,1,2,2070,1.81
U06,9,3,1183,31,9 7 1 1 4 7 4 9,2 5 3 9 3 3 6 6,538 548 926 844 800 783 849 1125,8,0,0,6413,2.94
U01,10,4,1344,76,5 8 1 8 6 9,2 2 2 5 2 3,715 453 1177 301 1153 470,6,0,0,4269,2.35
U14,4,2,968,44,3 3 2 8,3 7 3 4,943 345 375 390,4,0,2,2053,1.5
U06,3,2,833,76,8 1 9,5 7 1,893 548 304,3,0,2,1745,1.82
U01,8,2,1038,61,2 2 8 4 8 6 9 1,6 1 4 7 8 2 8 7,655 708 899 365 1148 940 885 1056,7,1,1,6656,4.4
U16,7,2,1459,71,7 4 9 9 8 4 3,2 5 1 9 6 6 1,388 485 630 415 876 444 285,5,2,0,3523,2.83
U13,8,2,1238,54,4 8 3 5 5 8 5,7 8 6 7 2 4 4,277 315 562 682 525 369 511,5,2,2,3241,2.92
U09,2,1,1306,48,2 6 1 7 2 4,6 9 1 9 9 5,948 300 490 208 1066 230,4,2,0,3242,2.66
U20,3,2,1052,72,9 7 9 4 8 8,7 6 7 6 1 4,286 867 890 628 767 420,6,0,0,3858,2.02
U02,1,3,1024,55,6 4 9 5 5,8 2 4 5 7,935 1188 755 398 1100,5,0,2,4376,2.41
U17,6,2,1096,48,5 3 3 6,4 1 3 8,464 658 479 395,2,2,0,1996,2.47
U07,6,2,1338,36,9 6 7 8 9 1,8 7 2 4 2 8,699 242 695 979 841 997,4,2,0,4453,3.69
U08,2,2,779,72,1 2 9 2 6 6 5,8 4 5 9 1 3 5,358 1197 1159 435 1012 1173 883,7,0,1,6217,3.51
U18,3,2,1124,41,5 1 2 7 5 2,2 8 4 4 9 5,409 389 828 984 1037 642,4,2,2,4289,3.32
U12,6,1,1460,47,8 8 8 2,2 5 9 2,1088 680 257 208,3,1,0,2233,1.56
U15,5,4,1165,59,8 7 4 1 9 9 9,8 4 4 6 7 6 7,997 1177 256 1133 1096 1117 318,6,1,1,6094,4.34
U17,2,1,750,60,6 4 1 6 6 1 8 3 6,9 6 4 5 5 8 2 7 9,219 577 873 726 543 905 1184 271 873,7,2,2,6171,4.21
U18,5,2,1304,36,2 3 1 8,6 8 1 9,660 722 850 587,3,1,2,2819,2.31
U14,2,4,577,34,4 3 4 4 8 3,4 9 5 1 9 6,215 472 1047 563 808 268,4,2,2,3373,3.29
U12,4,1,550,59,5 1 9,2 8 8,445 382 236,2,1,2,1063,1.62
U17,5,4,1125,65,5 7 9 7 1 4 7 5,1 7 5 8 1 1 2 8,736 424 322 430 368 956 812 559,7,1,2,4607,3.03
U09,10,3,582,73,5 7 6 6 2 6 2,7 3 8 2 8 9 9,747 221 772 310 957 1154 390,6,1,1,4551,3.38
U18,7,3,856,20,7 2 3 9 3 2,9 5 5 7 6 4,596 924 563 987 407 661,5,1,2,4138,3.51
U09,3,4,1379,20,1 4 6 9 2 9 1,4 5 8 1 7 2 2,680 900 1106 747 221 476 902,7,0,2,5032,3.26
U14,1,2,1473,43,6 2 8,1 2 8,245 1100 697,2,1,2,2042,1.64
U14,5,4,827,68,6 4 6 9 7 4 5 6,6 1 7 5 8 9 1 7,623 787 436 728 546 898 221 1101,7,1,1,5340,3.01
U09,6,2,910,76,9 8 8 8,6 2 3 6,887 389 331 356,3,1,0,1963,1.66
U06,1,3,942,40,1 6 6 4 1 4 8,4 5 5 7 6 7 5,209 653 799 890 958 432 532,5,2,0,4473,3.34
